ambiguity,ambiguity_reason,answerable,block_id,block_type,claim_role,duplicated_across_claims,duplicated_within_claim,evidence_corpus_triple_exists,exact_block_available,exclusion_reason,included_in_claim_metric,included_in_primary_question_metric,included_in_v2,page,page_only_relation,paper_id,question_id,relation_key,relation_source,required_claim_id
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000005,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,1,False,1810.04805,q007,q007|cl-q007-0dda2c31fef09b05c68b|1810.04805|1|b000005,claim-units-v1 question-level candidate Gold mapping,cl-q007-0dda2c31fef09b05c68b
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000015,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1810.04805,q007,q007|cl-q007-0dda2c31fef09b05c68b|1810.04805|2|b000015,claim-units-v1 question-level candidate Gold mapping,cl-q007-0dda2c31fef09b05c68b
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000016,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1810.04805,q007,q007|cl-q007-0dda2c31fef09b05c68b|1810.04805|2|b000016,claim-units-v1 question-level candidate Gold mapping,cl-q007-0dda2c31fef09b05c68b
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000017,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1810.04805,q007,q007|cl-q007-0dda2c31fef09b05c68b|1810.04805|2|b000017,claim-units-v1 question-level candidate Gold mapping,cl-q007-0dda2c31fef09b05c68b
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000005,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,1,False,1810.04805,q007,q007|cl-q007-0dc4946bfe1085fe36ce|1810.04805|1|b000005,claim-units-v1 question-level candidate Gold mapping,cl-q007-0dc4946bfe1085fe36ce
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000015,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1810.04805,q007,q007|cl-q007-0dc4946bfe1085fe36ce|1810.04805|2|b000015,claim-units-v1 question-level candidate Gold mapping,cl-q007-0dc4946bfe1085fe36ce
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000016,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1810.04805,q007,q007|cl-q007-0dc4946bfe1085fe36ce|1810.04805|2|b000016,claim-units-v1 question-level candidate Gold mapping,cl-q007-0dc4946bfe1085fe36ce
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000017,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1810.04805,q007,q007|cl-q007-0dc4946bfe1085fe36ce|1810.04805|2|b000017,claim-units-v1 question-level candidate Gold mapping,cl-q007-0dc4946bfe1085fe36ce
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000005,paragraph,report_result,True,False,True,True,claim-level relation ambiguity,False,True,True,1,False,1810.04805,q007,q007|cl-q007-51d53fc4250379d38e16|1810.04805|1|b000005,claim-units-v1 question-level candidate Gold mapping,cl-q007-51d53fc4250379d38e16
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000015,paragraph,report_result,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1810.04805,q007,q007|cl-q007-51d53fc4250379d38e16|1810.04805|2|b000015,claim-units-v1 question-level candidate Gold mapping,cl-q007-51d53fc4250379d38e16
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000016,paragraph,report_result,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1810.04805,q007,q007|cl-q007-51d53fc4250379d38e16|1810.04805|2|b000016,claim-units-v1 question-level candidate Gold mapping,cl-q007-51d53fc4250379d38e16
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000017,paragraph,report_result,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1810.04805,q007,q007|cl-q007-51d53fc4250379d38e16|1810.04805|2|b000017,claim-units-v1 question-level candidate Gold mapping,cl-q007-51d53fc4250379d38e16
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000012,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,1,False,1810.04805,q008,q008|cl-q008-5fd8e23c8c061690cde0|1810.04805|1|b000012,claim-units-v1 question-level candidate Gold mapping,cl-q008-5fd8e23c8c061690cde0
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000013,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1810.04805,q008,q008|cl-q008-5fd8e23c8c061690cde0|1810.04805|2|b000013,claim-units-v1 question-level candidate Gold mapping,cl-q008-5fd8e23c8c061690cde0
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000060,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1810.04805,q008,q008|cl-q008-5fd8e23c8c061690cde0|1810.04805|3|b000060,claim-units-v1 question-level candidate Gold mapping,cl-q008-5fd8e23c8c061690cde0
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000063,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1810.04805,q008,q008|cl-q008-5fd8e23c8c061690cde0|1810.04805|3|b000063,claim-units-v1 question-level candidate Gold mapping,cl-q008-5fd8e23c8c061690cde0
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000012,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,1,False,1810.04805,q008,q008|cl-q008-3fcba63ce8d76f5cfc1d|1810.04805|1|b000012,claim-units-v1 question-level candidate Gold mapping,cl-q008-3fcba63ce8d76f5cfc1d
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000013,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1810.04805,q008,q008|cl-q008-3fcba63ce8d76f5cfc1d|1810.04805|2|b000013,claim-units-v1 question-level candidate Gold mapping,cl-q008-3fcba63ce8d76f5cfc1d
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000060,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1810.04805,q008,q008|cl-q008-3fcba63ce8d76f5cfc1d|1810.04805|3|b000060,claim-units-v1 question-level candidate Gold mapping,cl-q008-3fcba63ce8d76f5cfc1d
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000063,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1810.04805,q008,q008|cl-q008-3fcba63ce8d76f5cfc1d|1810.04805|3|b000063,claim-units-v1 question-level candidate Gold mapping,cl-q008-3fcba63ce8d76f5cfc1d
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000012,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,1,False,1810.04805,q008,q008|cl-q008-d73bc3c128270add0359|1810.04805|1|b000012,claim-units-v1 question-level candidate Gold mapping,cl-q008-d73bc3c128270add0359
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000013,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1810.04805,q008,q008|cl-q008-d73bc3c128270add0359|1810.04805|2|b000013,claim-units-v1 question-level candidate Gold mapping,cl-q008-d73bc3c128270add0359
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000060,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1810.04805,q008,q008|cl-q008-d73bc3c128270add0359|1810.04805|3|b000060,claim-units-v1 question-level candidate Gold mapping,cl-q008-d73bc3c128270add0359
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000063,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1810.04805,q008,q008|cl-q008-d73bc3c128270add0359|1810.04805|3|b000063,claim-units-v1 question-level candidate Gold mapping,cl-q008-d73bc3c128270add0359
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000031,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1910.10683,q013,q013|cl-q013-ed3f2a06305ea05d1b9e|1910.10683|2|b000031,claim-units-v1 question-level candidate Gold mapping,cl-q013-ed3f2a06305ea05d1b9e
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000050,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1910.10683,q013,q013|cl-q013-ed3f2a06305ea05d1b9e|1910.10683|3|b000050,claim-units-v1 question-level candidate Gold mapping,cl-q013-ed3f2a06305ea05d1b9e
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000057,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,4,False,1910.10683,q013,q013|cl-q013-ed3f2a06305ea05d1b9e|1910.10683|4|b000057,claim-units-v1 question-level candidate Gold mapping,cl-q013-ed3f2a06305ea05d1b9e
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000110,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,8,False,1910.10683,q013,q013|cl-q013-ed3f2a06305ea05d1b9e|1910.10683|8|b000110,claim-units-v1 question-level candidate Gold mapping,cl-q013-ed3f2a06305ea05d1b9e
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000031,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1910.10683,q013,q013|cl-q013-938d2a4e18520c28a5d7|1910.10683|2|b000031,claim-units-v1 question-level candidate Gold mapping,cl-q013-938d2a4e18520c28a5d7
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000050,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1910.10683,q013,q013|cl-q013-938d2a4e18520c28a5d7|1910.10683|3|b000050,claim-units-v1 question-level candidate Gold mapping,cl-q013-938d2a4e18520c28a5d7
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000057,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,4,False,1910.10683,q013,q013|cl-q013-938d2a4e18520c28a5d7|1910.10683|4|b000057,claim-units-v1 question-level candidate Gold mapping,cl-q013-938d2a4e18520c28a5d7
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000110,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,8,False,1910.10683,q013,q013|cl-q013-938d2a4e18520c28a5d7|1910.10683|8|b000110,claim-units-v1 question-level candidate Gold mapping,cl-q013-938d2a4e18520c28a5d7
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000031,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1910.10683,q013,q013|cl-q013-4a5420c3371111d7f5f3|1910.10683|2|b000031,claim-units-v1 question-level candidate Gold mapping,cl-q013-4a5420c3371111d7f5f3
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000050,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1910.10683,q013,q013|cl-q013-4a5420c3371111d7f5f3|1910.10683|3|b000050,claim-units-v1 question-level candidate Gold mapping,cl-q013-4a5420c3371111d7f5f3
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000057,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,4,False,1910.10683,q013,q013|cl-q013-4a5420c3371111d7f5f3|1910.10683|4|b000057,claim-units-v1 question-level candidate Gold mapping,cl-q013-4a5420c3371111d7f5f3
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000110,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,8,False,1910.10683,q013,q013|cl-q013-4a5420c3371111d7f5f3|1910.10683|8|b000110,claim-units-v1 question-level candidate Gold mapping,cl-q013-4a5420c3371111d7f5f3
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000052,paragraph,compare,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1910.10683,q015,q015|cl-q015-281a83daa0567f6ae7ac|1910.10683|3|b000052,claim-units-v1 question-level candidate Gold mapping,cl-q015-281a83daa0567f6ae7ac
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000130,paragraph,compare,True,False,True,True,claim-level relation ambiguity,False,True,True,10,False,1910.10683,q015,q015|cl-q015-281a83daa0567f6ae7ac|1910.10683|10|b000130,claim-units-v1 question-level candidate Gold mapping,cl-q015-281a83daa0567f6ae7ac
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000520,paragraph,compare,True,False,True,True,claim-level relation ambiguity,False,True,True,40,False,1910.10683,q015,q015|cl-q015-281a83daa0567f6ae7ac|1910.10683|40|b000520,claim-units-v1 question-level candidate Gold mapping,cl-q015-281a83daa0567f6ae7ac
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000052,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1910.10683,q015,q015|cl-q015-fd7824b67e9a47f5aa88|1910.10683|3|b000052,claim-units-v1 question-level candidate Gold mapping,cl-q015-fd7824b67e9a47f5aa88
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000130,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,10,False,1910.10683,q015,q015|cl-q015-fd7824b67e9a47f5aa88|1910.10683|10|b000130,claim-units-v1 question-level candidate Gold mapping,cl-q015-fd7824b67e9a47f5aa88
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000520,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,40,False,1910.10683,q015,q015|cl-q015-fd7824b67e9a47f5aa88|1910.10683|40|b000520,claim-units-v1 question-level candidate Gold mapping,cl-q015-fd7824b67e9a47f5aa88
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000052,paragraph,report_result,True,False,True,True,claim-level relation ambiguity,False,True,True,3,False,1910.10683,q015,q015|cl-q015-34d9467bd693a8e1f141|1910.10683|3|b000052,claim-units-v1 question-level candidate Gold mapping,cl-q015-34d9467bd693a8e1f141
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000130,paragraph,report_result,True,False,True,True,claim-level relation ambiguity,False,True,True,10,False,1910.10683,q015,q015|cl-q015-34d9467bd693a8e1f141|1910.10683|10|b000130,claim-units-v1 question-level candidate Gold mapping,cl-q015-34d9467bd693a8e1f141
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000520,paragraph,report_result,True,False,True,True,claim-level relation ambiguity,False,True,True,40,False,1910.10683,q015,q015|cl-q015-34d9467bd693a8e1f141|1910.10683|40|b000520,claim-units-v1 question-level candidate Gold mapping,cl-q015-34d9467bd693a8e1f141
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000215,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,2001.08361,q019,q019|cl-q019-409ecf7b2b8c09e348e6|2001.08361|7|b000215,claim-units-v1 question-level candidate Gold mapping,cl-q019-409ecf7b2b8c09e348e6
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000216,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,2001.08361,q019,q019|cl-q019-409ecf7b2b8c09e348e6|2001.08361|7|b000216,claim-units-v1 question-level candidate Gold mapping,cl-q019-409ecf7b2b8c09e348e6
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000217,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,2001.08361,q019,q019|cl-q019-409ecf7b2b8c09e348e6|2001.08361|7|b000217,claim-units-v1 question-level candidate Gold mapping,cl-q019-409ecf7b2b8c09e348e6
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000218,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,2001.08361,q019,q019|cl-q019-409ecf7b2b8c09e348e6|2001.08361|7|b000218,claim-units-v1 question-level candidate Gold mapping,cl-q019-409ecf7b2b8c09e348e6
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000215,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,2001.08361,q019,q019|cl-q019-2fef5549293d6f983f79|2001.08361|7|b000215,claim-units-v1 question-level candidate Gold mapping,cl-q019-2fef5549293d6f983f79
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000216,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,2001.08361,q019,q019|cl-q019-2fef5549293d6f983f79|2001.08361|7|b000216,claim-units-v1 question-level candidate Gold mapping,cl-q019-2fef5549293d6f983f79
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000217,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,2001.08361,q019,q019|cl-q019-2fef5549293d6f983f79|2001.08361|7|b000217,claim-units-v1 question-level candidate Gold mapping,cl-q019-2fef5549293d6f983f79
