baseline_any_valid_status,baseline_citation_count,candidate_citation_slot_availability,candidate_comparison_sides,candidate_covered_obligations,candidate_lost_during_fallback,candidate_numeric_anchors,candidate_rejected_at_admission,candidate_rejected_by_citation_cap,candidate_rejected_by_replacement_proof,candidate_rejected_by_role_assignment,candidate_rejected_by_set_builder,comparison_obligations,completeness_scorer_result,final_citation_count,full_v4_admitted_candidates,full_v4_any_valid_status,full_v4_role_assignments,full_v4_selected_set,generic_repair_category,no_online_gold_dependency,numeric_obligations,offline_relation_scorer_result,oracle_candidate_upper_bound_status,oracle_valid_candidate_set,primary_gap_cause,question_id,required_claim_id,secondary_gap_causes,uncovered_obligations_after,uncovered_obligations_before
False,1,1,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,2,"['E001', 'E006', 'E007']",True,see set-completion replay traces,"['E006', 'E001']",none,True,False,True,True,['E001'],no_gap,q007,cl-q007-0dda2c31fef09b05c68b,[],[],[]
False,1,2,True,"['ob-01', 'ob-02']",False,True,False,False,False,False,False,False,aligned,1,"['E001', 'E002', 'E003']",False,see set-completion replay traces,['E003'],none,True,True,False,False,[],no_gap,q007,cl-q007-51d53fc4250379d38e16,[],[],[]
False,1,2,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,1,"['E002', 'E005', 'E018']",False,see set-completion replay traces,['E005'],none,True,False,False,False,[],no_gap,q008,cl-q008-3fcba63ce8d76f5cfc1d,[],[],[]
False,1,1,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,2,"['E001', 'E005', 'E012']",False,see set-completion replay traces,"['E005', 'E001']",none,True,False,False,False,[],no_gap,q008,cl-q008-5fd8e23c8c061690cde0,[],[],[]
False,1,2,True,"['ob-01', 'ob-02']",False,True,False,False,False,False,False,False,aligned,1,"['E002', 'E009', 'E012']",False,see set-completion replay traces,['E002'],none,True,False,False,False,[],no_gap,q008,cl-q008-d73bc3c128270add0359,[],[],[]
False,1,2,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,1,"['E001', 'E010', 'E015']",False,see set-completion replay traces,['E001'],none,True,False,False,False,[],no_gap,q013,cl-q013-4a5420c3371111d7f5f3,[],[],[]
False,1,2,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,1,"['E001', 'E005', 'E015']",False,see set-completion replay traces,['E005'],none,True,False,False,False,[],no_gap,q013,cl-q013-938d2a4e18520c28a5d7,[],[],[]
False,1,2,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,1,"['E001', 'E012', 'E015']",False,see set-completion replay traces,['E001'],none,True,False,False,False,[],no_gap,q013,cl-q013-ed3f2a06305ea05d1b9e,[],[],[]
False,1,2,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,1,"['E001', 'E002', 'E019']",False,see set-completion replay traces,['E001'],none,True,False,False,False,[],no_gap,q015,cl-q015-281a83daa0567f6ae7ac,[],[],[]
False,1,2,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,1,"['E004', 'E006', 'E010']",False,see set-completion replay traces,['E006'],none,True,False,False,False,[],no_gap,q015,cl-q015-34d9467bd693a8e1f141,[],[],[]
False,0,3,True,[],False,True,False,False,False,False,False,False,aligned,0,"['E001', 'E002', 'E015']",False,see set-completion replay traces,[],none,True,False,False,False,[],no_gap,q015,cl-q015-fd7824b67e9a47f5aa88,[],['ob-01'],['ob-01']
False,0,3,True,['ob-01'],False,False,False,False,False,False,False,False,aligned,0,"['E007', 'E011', 'E014']",False,see set-completion replay traces,[],none,True,True,False,False,[],no_gap,q019,cl-q019-2fef5549293d6f983f79,[],"['22m', '23b']","['ob-01', '22m', '23b']"
False,0,3,True,[],False,False,False,False,False,False,False,False,aligned,0,"['E005', 'E006', 'E014']",False,see set-completion replay traces,[],none,True,True,False,False,[],no_gap,q019,cl-q019-409ecf7b2b8c09e348e6,[],"['ob-01', '768', '1', '5b']","['ob-01', '768', '1', '5b']"
False,1,2,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,1,"['E001', 'E003', 'E006']",False,see set-completion replay traces,['E001'],none,True,False,False,False,[],no_gap,q019,cl-q019-9d65c5779788321a4283,[],[],[]
False,1,2,True,['ob-01'],False,True,False,False,False,False,True,False,aligned,1,"['E001', 'E007', 'E011']",False,see set-completion replay traces,['E001'],set_completion,True,False,True,True,['E011'],complementary_set_not_enumerated,q050,cl-q050-96cfbcf597379dea6b6f,[],[],[]
False,1,2,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,1,"['E001', 'E003', 'E010']",False,see set-completion replay traces,['E001'],none,True,False,False,False,[],no_gap,q050,cl-q050-e6beec554909bcb0e6ba,[],[],[]
True,1,1,True,['ob-01'],False,True,False,False,False,False,False,False,false_negative,2,"['E010', 'E011', 'E016']",True,see set-completion replay traces,"['E011', 'E016']",none,True,False,True,True,['E011'],no_gap,q050,cl-q050-fcbcedc602ad451d727a,[],['ob-02'],['ob-02']
